response_id,incident_id,responder_type,responder_name_public,response_type,response_date,source_id,summary_zh,summary_en
RSP-00026,AHID-CN-2026-0025,other,,statement,,SRC-00042,"园方发布情况说明，承认饲养员""操作不规范""，对其严肃批评教育；兽医检查后称小象身体状况良好",
RSP-00027,AHID-CN-2026-0026,court,,penalty,,SRC-00044,都江堰市人民法院一审公开审理，以寻衅滋事罪判处白某红有期徒刑1年6个月、徐某有期徒刑1年2个月；（2025）川0181刑初69号，2025-06-26宣判，双方均未上诉、检察机关未抗诉，判决已生效,
RSP-00028,AHID-CN-2026-0026,court,,filing,,SRC-00044,白某红、徐某均以寻衅滋事罪定罪量刑；该案入选四川法院年度优秀案例及全国法院案例库，系全国首例涉大熊猫网络谣言、网络暴力刑事案件,
RSP-00029,AHID-CN-2026-0026,other,,denial,,SRC-00044,中国大熊猫保护研究中心等相关单位自谣言传播初期起，通过官方微博、微信公众号、中央政法媒体及中国互联网联合辟谣平台等渠道发布辟谣信息,
RSP-00030,AHID-CN-2026-0027,other,,investigation,,SRC-00046,一名参与高速管理工作的交警向记者说明：《道路交通安全法实施条例》仅允许车内后备箱或车顶行李架载货，严禁车外悬挂物品，若笼具脱落引发事故车主需担责；此为一般性规定说明，并非针对本次乐山-重庆事件的专项调查或处理通报,
RSP-00031,AHID-CN-2026-0028,court,,penalty,,SRC-00048,朝阳警方以投放危险物质罪立案侦查，检方提起公诉；北京朝阳法院一审（2025-12-11）判处张某华有期徒刑4年，并判赔11名民事原告数千至数万元不等；北京市第三中级人民法院二审（2026-04-16）维持原判，驳回5名上诉人的精神损失赔偿诉求,
RSP-00032,AHID-CN-2026-0028,court,,filing,,SRC-00048,"案件历经9次延审，法律界人士分析系""投放危险物质罪""属危害公共安全重罪，法院对行为是否达到""足以严重危害不特定多数人人身或重大财产安全""的法定程度持审慎态度",
RSP-00033,AHID-CN-2026-0029,other,,statement,,SRC-00051,2024-05-22校方电话回应称已对涉事学生批评教育及心理疏导，具体处罚将按校规校纪处理,
RSP-00034,AHID-CN-2026-0030,company,,penalty,,SRC-00052,中国工商银行南宁新城支行核查后与该员工解除劳动合同,
RSP-00035,AHID-CN-2026-0031,school,,penalty,,SRC-00053,浙江警察学院通报认定王照蔚行为违背公序良俗，给予政务记大过处分并调离教师岗位,
