claim_id,incident_id,claim_type,claim_value,support_status,supporting_source_count,independent_supporting_count,contradicting_source_count,confidence_category
CLM-00021,AHID-CN-2026-0004,harm_method,官方处分决定称：崔某某在校外居住处照顾他人猫只期间被咬伤，遂将猫杀害,partially_supported,1,1,1,medium
CLM-00022,AHID-CN-2026-0004,harm_method,更早的网友爆料称：崔某某偷走便利店老板的宠物猫，21日凌晨被抓获后承认虐杀并弃尸垃圾桶；经查猫的前爪断裂、尾巴骨折、身上有明显烫伤痕迹,contradicted,1,1,1,medium
CLM-00023,AHID-CN-2026-0004,official_response,广东海洋大学给予留校察看处分，暂停学业（2025-06-24决定）,supported,1,1,0,high
CLM-00024,AHID-CN-2026-0005,event_occurred,华中农业大学学生苏某某将药物碾粉兑水投喂校内流浪猫,supported,2,2,0,high
CLM-00025,AHID-CN-2026-0005,event_date,2024-10~11（投毒期间）,supported,2,2,0,high
CLM-00026,AHID-CN-2026-0005,harm_method,5片人用药物碾成粉末分次兑水投喂流浪猫,supported,2,2,0,high
CLM-00027,AHID-CN-2026-0005,animal_death,十余只校内流浪猫接连死亡,supported,2,2,0,high
CLM-00028,AHID-CN-2026-0005,animal_death,另有一只黑猫尸体被发现，网传系人为蓄意放置；经辖区派出所现场勘察、调看监控及X光检查，未发现人为放置或骨折证据,contradicted,2,2,0,high
CLM-00029,AHID-CN-2026-0005,official_response,学校联合属地派出所调查，给予苏某某严重警告处分,supported,2,2,0,high
CLM-00030,AHID-CN-2026-0006,event_occurred,山东理工大学数学与统计学院2016级学生范源庆虐待流浪猫并拍摄视频在网络贩卖,supported,2,2,0,high
CLM-00031,AHID-CN-2026-0006,event_date,2020-02~04（虐待期间）/ 2020-04-09（学校官方声明日期）,supported,2,2,0,high
CLM-00032,AHID-CN-2026-0006,animal_count,80余只,supported,2,2,0,high
CLM-00033,AHID-CN-2026-0006,harm_method,剥皮、掏肠、挖眼、拔舌、开水烫身、火烧、电击等手段，过程拍摄成视频通过微博/QQ贩卖牟利,supported,2,2,0,high
CLM-00034,AHID-CN-2026-0006,official_response,学校官方声明证实身份，给予严肃批评教育，责令向网友道歉；未见开除或退学处分,supported,2,2,0,high
CLM-00035,AHID-CN-2026-0006,legal_outcome,律师接受采访时提出可能以非法经营罪等罪名追责的法律观点；未见实际立案或起诉记录,claimed_only,2,2,0,low
CLM-00036,AHID-CN-2026-0007,event_occurred,南阳理工学院学生李某某虐猫并在网上发布视频及不当言论,supported,2,2,0,high
CLM-00037,AHID-CN-2026-0007,event_date,2023-09-02（校方通报处理决定日期；视频最初曝光的具体日期未见于已归档来源，此前搜索摘要提及的8月27日/28日无法在本轮归档正文中核实）,partially_supported,2,2,0,medium
CLM-00038,AHID-CN-2026-0007,official_response,南阳理工学院给予开除学籍处分,supported,2,2,0,high
CLM-00039,AHID-CN-2026-0007,legal_outcome,警方另处行政拘留7日,claimed_only,0,0,0,low
CLM-00040,AHID-CN-2026-0008,event_occurred,徐某某本科就读东南大学期间在宿舍虐杀猫只并拍摄视频上传网络,supported,2,2,0,high
CLM-00041,AHID-CN-2026-0008,event_location,施虐地点：东南大学（南京）；机构后续（考研拒录）：南京大学,supported,2,2,0,high
CLM-00042,AHID-CN-2026-0008,harm_method,将猫放入水桶，用脚踩踏猫头,supported,2,2,0,high
CLM-00043,AHID-CN-2026-0008,official_response,南京大学物理学院复试认定徐某某思想品德考核不合格，专业笔面第一但未予录取（2024-04）,supported,2,2,0,high
CLM-00044,AHID-CN-2026-0008,official_response,调剂至兰州大学核科学与技术学院复试，最终未进入拟录取名单（2024-04-08）,supported,1,1,0,high
CLM-00045,AHID-CN-2026-0008,official_response,南京市公安局对徐某某及家人进行约谈，徐某某写悔过书,supported,2,2,0,high
CLM-00046,AHID-CN-2026-0009,event_occurred,"网络博主徐志辉（网名""杰克辣条""）拍摄""处刑式虐猫""短视频传播",supported,2,2,0,high
CLM-00047,AHID-CN-2026-0009,harm_method,对猫实施虐待并拍摄成短视频在QQ群传播,supported,2,2,0,high
CLM-00048,AHID-CN-2026-0009,official_response,安徽省阜南县公安局依据治安管理处罚法对徐志辉予以治安拘留,supported,2,2,0,high
CLM-00049,AHID-CN-2026-0009,policy_response,"阜南县文明办取消徐志辉此前获得的""阜南好人""荣誉称号（2026-05-05）",supported,1,1,0,high
CLM-00050,AHID-CN-2026-0010,event_occurred,沭阳县南湖公园动物园黑熊被铅条绑嘴、梅花鹿腿部溃烂生蛆，游客拍摄视频提供给媒体,claimed_only,1,1,0,medium
CLM-00051,AHID-CN-2026-0010,event_date,2024-11-04,supported,1,1,0,high
CLM-00052,AHID-CN-2026-0010,official_response,"报道时动物园员工仅口头回应""会去了解情况""，未见正式官方调查或处理结果",unknown,1,1,0,low
CLM-00053,AHID-CN-2026-0011,event_occurred,福州动物园一只狗熊在表演中因连续失败遭驯兽师脚踹,supported,1,1,0,high
CLM-00054,AHID-CN-2026-0011,event_location,福州动物园（福建省）——原线索误记为广西，2026-07-27归档正文核实后更正,supported,1,1,0,high
CLM-00055,AHID-CN-2026-0011,official_response,动物园管理处回应称驯兽师情绪急躁，已将其停职,supported,1,1,0,high
CLM-00056,AHID-CN-2026-0012,event_occurred,消费者在北京一家宠物店购买的边牧犬到家第2天生病，15天后抽搐死亡,supported,1,1,0,high
CLM-00057,AHID-CN-2026-0012,event_date,2026-04-30（报道日期）,supported,1,1,0,high
CLM-00058,AHID-CN-2026-0012,harm_method,涉事宠物店存在检疫证明存疑、隐瞒病情、拒绝担责等模式；同店另一消费者购买的柴犬经检测确诊携带犬瘟热、细小病毒，四天后死亡,supported,1,1,0,high
CLM-00059,AHID-CN-2026-0012,legal_outcome,同店柴犬买家已通过法院强制执行程序获约4000元赔偿，历时近两年；本文起始的边牧犬买家本人是否已获赔偿或诉讼未见报道,partially_supported,1,1,0,medium
CLM-00060,AHID-CN-2026-0013,event_occurred,记者调查报道称闽南（晋江等地）存在地下斗狗赌博活动，画面残忍血腥,claimed_only,1,1,0,medium
CLM-00061,AHID-CN-2026-0013,event_date,2015-05-04（报道刊发日期；描述的斗狗活动本身无具体单一日期，见HRL-014）,claimed_only,1,1,0,low
CLM-00062,AHID-CN-2026-0013,official_response,记者向工商部门了解到，我国法律法规对斗狗是否违法并未明确规定；泉州当地未处理过非法开设斗狗场或斗狗赌博案件,supported,1,1,0,high
CLM-00066,AHID-CN-2026-0015,event_occurred,湖南江永县城管执法人员在处置一只追人流浪犬时违规操作，将犬只系于车辆尾部拖行致死,supported,2,2,0,high
CLM-00067,AHID-CN-2026-0015,event_date,2026-05-28上午8时许,supported,2,2,0,high
CLM-00068,AHID-CN-2026-0015,harm_method,现场缺乏专业带离工具，工作人员擅自违规操作将犬只系于车尾缓慢带离，致其被拖行致死,supported,2,2,0,high
CLM-00069,AHID-CN-2026-0015,animal_death,涉事犬只死亡,supported,2,2,0,high
CLM-00070,AHID-CN-2026-0015,official_response,江永县城市管理和综合执法局发布通报公开致歉，涉事工作人员停职接受进一步调查处理,supported,2,2,0,high
CLM-00071,AHID-CN-2026-0016,event_occurred,G15沈海高速连云港段托运车追尾起火，车载23只宠物猫狗全部死亡,supported,2,2,0,high
CLM-00072,AHID-CN-2026-0016,event_date,2026-06-13 22:55,supported,2,2,0,high
CLM-00073,AHID-CN-2026-0016,animal_count,约23只（猫、犬）,supported,2,2,0,high
CLM-00074,AHID-CN-2026-0016,harm_method,"托运公司宣传""专车专运、一猫一座""，实际使用密闭依维柯大车混装运输；涉事托运公司""易丰运宠""系""永鹏控股""旗下分支业务",supported,2,2,0,high
CLM-00075,AHID-CN-2026-0016,official_response,事故发生当晚交警到场处理；截至报道时未见交通或农业农村部门就托运资质/责任认定发布正式调查结论,partially_supported,2,2,0,medium
CLM-00076,AHID-CN-2026-0016,legal_outcome,受害宠物主人表示已准备向法院提起诉讼；未见法院受理或判决记录,claimed_only,2,2,0,low
CLM-00077,AHID-CN-2026-0017,event_occurred,苏州男子李某伪装领养意愿诱骗获取猫只，自述在QQ群直播中对多只猫施虐,supported,1,1,0,high
CLM-00078,AHID-CN-2026-0017,event_date,2026-02-25（志愿者拦截当日）/ 2026-02-28（警方通报调查日期）,partially_supported,1,1,0,medium
CLM-00079,AHID-CN-2026-0017,harm_method,本人承认虐待5只猫，含用开水浇烫；QQ群内其他成员另有强喂酸性物质、高空抛掷、活活烧死等手段，但未明确归因于本人,supported,1,1,0,high
CLM-00080,AHID-CN-2026-0017,official_response,苏州市吴中区警方发布官方通报，同时对李某（涉嫌虐杀领养猫只并传播视频）与介入的志愿者（涉嫌拘禁殴打李某）两方展开调查,supported,1,1,0,high
CLM-00081,AHID-CN-2026-0017,policy_response,"总部位于北京的动物福利组织""伴侣动物工作组""（Companion Animals Working Group）获悉线索后主动向警方举报，并公开呼吁腾讯公司整治QQ群内虐待动物内容传播",supported,1,1,0,high
CLM-00082,AHID-CN-2026-0018,event_occurred,央视财经《经济半小时》调查报道江苏如皋、山东济宁等地存在无证地下宠物交易与繁殖场，病猫病犬翻新转卖、繁殖场死亡率超五成,supported,1,1,0,high
CLM-00083,AHID-CN-2026-0018,event_location,"江苏省南通市如皋市（主要调查地点）；另涉及山东省济宁市——原线索误记""昆山""，2026-07-27归档正文核实后更正，原文完全未提及昆山",supported,1,1,0,high
CLM-00084,AHID-CN-2026-0018,harm_method,无证经营、不打疫苗、伪造检疫证明、交叉感染风险高、繁殖场死亡率超50%,supported,1,1,0,high
CLM-00085,AHID-CN-2026-0018,official_response,市场监管、畜牧兽医站等多部门互相推诿，均表示不在自身监管范围；报道未见任何实际处罚或取缔记录,supported,1,1,0,high
CLM-00086,AHID-CN-2026-0019,event_occurred,"深圳市公安局龙岗分局破获以""斗鸡""形式进行的聚众赌博窝点",supported,1,1,0,high
CLM-00087,AHID-CN-2026-0019,event_date,2019-04-07,supported,1,1,0,high
CLM-00088,AHID-CN-2026-0019,animal_count,斗鸡9只被查获,supported,1,1,0,high
CLM-00089,AHID-CN-2026-0019,harm_method,"组织者建立斗鸡场地、制定规则，召集6名""斗鸡""爱好者自带斗鸡进行赌博，每盘赌注100-1200元",supported,1,1,0,high
CLM-00090,AHID-CN-2026-0019,official_response,现场抓获涉赌人员21人；组织者杨某某、胡某某涉嫌开设赌场罪被刑事拘留，参赌者分别处以治安拘留或行政处罚,supported,1,1,0,high
CLM-00091,AHID-CN-2026-0019,legal_outcome,2名组织者被刑事拘留（开设赌场罪）,supported,1,1,0,high
CLM-00092,AHID-CN-2026-0020,event_occurred,重庆两江新区男子李某长期以领养为名骗取猫狗，实施虐待并致多只动物死亡,supported,3,3,0,high
CLM-00093,AHID-CN-2026-0020,event_date,2026-03（邻居首次报案）～2026-06-09（正式立案）,supported,3,3,0,high
CLM-00094,AHID-CN-2026-0020,harm_method,锯平牙齿、剪断尾巴、折断骨骼；将已死亡动物从高层阳台抛下,supported,3,3,0,high
CLM-00095,AHID-CN-2026-0020,animal_death,至少1只成年犬及多只动物死亡；3只幸存犬送医收容；另有多只动物下落不明,supported,3,3,0,high
CLM-00096,AHID-CN-2026-0020,official_response,"2026-03邻居首次报案时警方因证据不足未采取有效措施；2026-06-05报案时办案警员表示""打杀狗不犯法""、将事件定性为民事纠纷，处理消极；经持续曝光及民众聚集后，2026-06-09两江新区公安分局正式立案调查，06-10对李某处以行政拘留",supported,2,2,0,high
CLM-00097,AHID-CN-2026-0020,policy_response,事件引发数百市民及志愿者连续多日聚集抗议，要求订立专门反虐待动物法；警方对集会现场进行清场并对网上流传的集会影像进行审查,partially_supported,1,1,0,medium
CLM-00098,AHID-CN-2026-0020,rescue_outcome,3只幸存犬只（含被救出的2只黑色幼犬）经动物志愿者及警方协助送往爱心宠物医院及动物收容所救治寄养；另有多只动物下落不明，去向未知,supported,2,2,0,high
CLM-00099,AHID-CN-2026-0021,event_occurred,徐州市3名男孩持棍棒及锤子将一只白猫按压致死,supported,1,1,0,high
CLM-00100,AHID-CN-2026-0021,event_date,2026-07-13晚,supported,1,1,0,high
CLM-00101,AHID-CN-2026-0021,harm_method,棍棒及锤子按压击打,supported,1,1,0,high
CLM-00102,AHID-CN-2026-0021,minor_involvement,3名涉事者均为未成年男孩,supported,1,1,0,high
CLM-00103,AHID-CN-2026-0021,official_response,辖区九里派出所于当晚介入，对涉事男孩及家长进行批评教育；其中一名男孩家长自称已对孩子进行教育与体罚；未见任何一方被送专门学校或其他更严厉处置,supported,1,1,0,high
CLM-00104,AHID-CN-2026-0022,event_occurred,连云港市东海县两名男童将点燃的烟花投入狗笼，烧死一只饲养7年的萨摩耶犬,supported,2,2,0,high
CLM-00105,AHID-CN-2026-0022,event_date,2026-02-01中午12时34分许,supported,2,2,0,high
CLM-00106,AHID-CN-2026-0022,harm_method,点燃烟花投入狗笼引发火灾,supported,2,2,0,high
CLM-00107,AHID-CN-2026-0022,animal_death,萨摩耶犬被烧死,supported,2,2,0,high
CLM-00108,AHID-CN-2026-0022,official_response,施害男孩家长一方陈述：警方已当面调解，两家各赔3000元共6000元并签订协议书，双方达成一致,partially_supported,1,1,1,medium
CLM-00109,AHID-CN-2026-0022,official_response,狗主人姜女士一方陈述：警方提出联合赔偿6000元或另赔一只狗的方案，但她和家人并未接受，坚持要求男孩家属在业主群公开道歉,contradicted,1,1,1,medium
CLM-00110,AHID-CN-2026-0023,event_occurred,成都大邑县安仁镇学校八年级二班4名学生买猫后虐待并拍视频发布网络,supported,2,2,0,high
CLM-00111,AHID-CN-2026-0023,event_date,2024-12-07晚（事件）/ 2024-12-11（教育局通报）,supported,2,2,0,high
CLM-00112,AHID-CN-2026-0023,harm_method,用打火机烧猫脸部、用石头砸猫头部、用脚将猫踹飞,supported,2,2,0,high
CLM-00113,AHID-CN-2026-0023,minor_involvement,4名涉事者均为在校初中生,supported,2,2,0,high
CLM-00114,AHID-CN-2026-0023,official_response,大邑县教育局联合辖区派出所核查；对涉事学生批评教育，给予停课反省处理，安排专业人员心理辅导及行为干预,supported,2,2,0,high
CLM-00115,AHID-CN-2026-0024,event_occurred,郑州锦艺城海洋馆驯养员在海狮表演结束后于后台脚踢海狮，游客拍摄曝光,supported,2,1,0,high
CLM-00116,AHID-CN-2026-0024,event_date,2025-05-21（事件）/ 2025-05-22（园方通报）,supported,2,1,0,high
CLM-00117,AHID-CN-2026-0024,harm_method,驯养师称因遭海狮攻击而脚踢海狮作为反应,supported,2,1,0,high
CLM-00118,AHID-CN-2026-0024,official_response,园方与涉事驯养员解除劳动合同，暂停营业进行闭馆整顿,supported,2,1,0,high
CLM-00119,AHID-CN-2026-0025,event_occurred,"西双版纳野生动物园饲养员用金属锁多次砸向两只未成年亚洲象（""念念""5岁、""乐宝""近4岁）头部",supported,2,2,0,high
CLM-00120,AHID-CN-2026-0025,event_date,2026-01-21（视频拍摄）/ 2026-01-23（视频网传及园方通报）,supported,2,2,0,high
CLM-00121,AHID-CN-2026-0025,harm_method,手持金属锁多次砸向象头部，并高声呵斥,supported,2,2,0,high
CLM-00122,AHID-CN-2026-0025,official_response,"园方发布情况说明，承认饲养员""操作不规范""，对其严肃批评教育；兽医检查后称小象身体状况良好",supported,2,2,0,high
CLM-00123,AHID-CN-2026-0025,official_response,"多名网友称该园小象长期被虐待、饲养环境差、屡遭殴打；但西双版纳州景洪市林业和草原局在2025年4月对相关投诉的官方回复认定""念念""身体健康、生活环境达标（室内86平方米、室外890平方米）",contradicted,1,1,1,medium
CLM-00124,AHID-CN-2026-0026,event_occurred,"网名""大辽皇后""的主播白某红与徐某于2023年3月至2024年5月在抖音、快手等平台散布中国大熊猫保护研究中心及工作人员""虐待大熊猫""""电击取精""等虚假信息，并编造工作人员因违规违纪被查处等不实内容，煽动网民投诉、举报、辱骂相关单位及个人",contradicted,2,2,0,high
CLM-00125,AHID-CN-2026-0026,event_date,2023-03～2024-05（散布期间）,supported,2,2,0,high
CLM-00126,AHID-CN-2026-0026,official_response,都江堰市人民法院一审公开审理，以寻衅滋事罪判处白某红有期徒刑1年6个月、徐某有期徒刑1年2个月；（2025）川0181刑初69号，2025-06-26宣判，双方均未上诉、检察机关未抗诉，判决已生效,supported,2,2,0,high
CLM-00127,AHID-CN-2026-0026,legal_outcome,白某红、徐某均以寻衅滋事罪定罪量刑；该案入选四川法院年度优秀案例及全国法院案例库，系全国首例涉大熊猫网络谣言、网络暴力刑事案件,supported,2,2,0,high
CLM-00128,AHID-CN-2026-0026,policy_response,中国大熊猫保护研究中心等相关单位自谣言传播初期起，通过官方微博、微信公众号、中央政法媒体及中国互联网联合辟谣平台等渠道发布辟谣信息,supported,1,1,0,high
CLM-00129,AHID-CN-2026-0026,rescue_outcome,造谣行为导致大熊猫人工繁育国际科研合作项目一度停滞；未见大熊猫本身受到任何实际伤害的记录,supported,2,2,0,high
CLM-00130,AHID-CN-2026-0027,event_occurred,一男子（吴先生）驾车沿乐山至重庆约300公里高速路段，累计发现62具猫狗尸体，其中约七八只为犬，其余多为猫；部分犬只穿着衣物、毛发整洁，推测系家养宠物,supported,2,2,0,high
CLM-00131,AHID-CN-2026-0027,event_date,2026-02-25,supported,2,2,0,high
CLM-00132,AHID-CN-2026-0027,event_location,四川乐山至重庆高速沿线（跨川渝两地，无法归入单一省市）,supported,2,2,0,high
CLM-00133,AHID-CN-2026-0027,harm_method,报道推测系春节返乡途中因运输防护不足导致宠物死亡或被沿途遗弃，非单一施害人的蓄意行为；报道同时提及湖北嘉鱼至武汉高速段另有两只犬只因车窗未关跳车被撞死的类似个案,claimed_only,2,2,0,medium
CLM-00134,AHID-CN-2026-0027,official_response,一名参与高速管理工作的交警向记者说明：《道路交通安全法实施条例》仅允许车内后备箱或车顶行李架载货，严禁车外悬挂物品，若笼具脱落引发事故车主需担责；此为一般性规定说明，并非针对本次乐山-重庆事件的专项调查或处理通报,supported,1,1,0,medium
CLM-00135,AHID-CN-2026-0027,official_response,报道中未见交通或农业农村部门就本次乐山-重庆事件本身发布对应调查或处理通报,unknown,2,2,0,low
CLM-00136,AHID-CN-2026-0028,event_occurred,北京朝阳区首开畅颐园小区业主张某华（65岁）因不满犬只对其电动三轮车撒尿、划损车辆，将氟乙酸钠浸泡鸡脖后弃于小区公共区域，致多只宠物中毒,supported,2,2,0,high
CLM-00137,AHID-CN-2026-0028,event_date,2022-09-14,supported,2,2,0,high
CLM-00138,AHID-CN-2026-0028,animal_count,搜狐一方陈述：9只宠物犬及2只流浪猫死亡（共11只死亡）,partially_supported,1,1,1,medium
CLM-00139,AHID-CN-2026-0028,animal_count,界面新闻一方陈述：共11只宠物犬中毒，其中9只死亡（未提及猫，暗示2只犬存活而非2只猫死亡）,contradicted,1,1,1,medium
CLM-00140,AHID-CN-2026-0028,legal_outcome,朝阳警方以投放危险物质罪立案侦查，检方提起公诉；北京朝阳法院一审（2025-12-11）判处张某华有期徒刑4年，并判赔11名民事原告数千至数万元不等；北京市第三中级人民法院二审（2026-04-16）维持原判，驳回5名上诉人的精神损失赔偿诉求,supported,2,2,0,high
CLM-00141,AHID-CN-2026-0028,legal_outcome,"案件历经9次延审，法律界人士分析系""投放危险物质罪""属危害公共安全重罪，法院对行为是否达到""足以严重危害不特定多数人人身或重大财产安全""的法定程度持审慎态度",supported,1,1,0,high
CLM-00142,AHID-CN-2026-0029,event_occurred,"山西晋中学院校园流浪猫（学生称""刘海""）于夜间被人掐死，校内动物保护学生账号发布讣告",supported,1,1,0,high
CLM-00143,AHID-CN-2026-0029,event_date,2024-05-20晚8时,supported,1,1,0,high
CLM-00144,AHID-CN-2026-0029,harm_method,被人徒手掐死,supported,1,1,0,high
CLM-00145,AHID-CN-2026-0029,official_response,2024-05-22校方电话回应称已对涉事学生批评教育及心理疏导，具体处罚将按校规校纪处理,supported,1,1,0,high
CLM-00146,AHID-CN-2026-0029,official_response,搜索摘要提及校方于5月23日进一步回应称学生已报警、警方介入调查取证；此细节未见于本次归档到的唯一来源正文，暂不采信为已证实,claimed_only,0,0,0,low
CLM-00147,AHID-CN-2026-0030,event_occurred,中国工商银行南宁市新城支行员工王某某被网友举报存在虐猫行为，银行核查后确认属实,supported,1,1,0,high
CLM-00148,AHID-CN-2026-0030,event_date,2023-09-03（银行通报日期）,supported,1,1,0,high
CLM-00149,AHID-CN-2026-0030,harm_method,"网传细节：网名""猫瘾治疗师""，一晚虐杀16只小猫并在网上传播贩卖虐猫视频，还曾发布""直播虐猫预告""要挟他人捐款；这些具体细节未见于银行官方通报本身（通报仅确认""存在虐猫行为""），暂标记为待验证",claimed_only,0,0,0,low
CLM-00150,AHID-CN-2026-0030,official_response,中国工商银行南宁新城支行核查后与该员工解除劳动合同,supported,1,1,0,high
CLM-00151,AHID-CN-2026-0031,event_occurred,"浙江警察学院教师王照蔚被举报虐待动物，以网名""兴汉龙腾""在QQ群聊分享虐杀视频",supported,2,2,0,high
CLM-00152,AHID-CN-2026-0031,event_date,2020下半年（网络举报期间，具体虐待时间不详）/ 2020-12-06（校方称已开展调查）/ 2021-01-08（处分决定）,supported,2,2,0,high
CLM-00153,AHID-CN-2026-0031,animal_count,"网络爆料称半年内虐杀约300只猫狗；此数字为举报方单方陈述，未见于校方官方通报本身（通报仅认定行为""违背公序良俗，造成不良社会影响""，未确认具体数量）",claimed_only,0,0,0,low
CLM-00154,AHID-CN-2026-0031,official_response,浙江警察学院通报认定王照蔚行为违背公序良俗，给予政务记大过处分并调离教师岗位,supported,2,2,0,high
